id,title,description,link,image_link,price,availability,product_type,brand
IR-2-10056,Chess Design DIY Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/chess-design-diy-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/360_20220118103359725.jpg?v=1642473456,15.99,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10055,Starfish Design DIY Silicone Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/adjustable-bezel-holder-resin-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/360_20220118101824027.jpg?v=1642472569,9.99,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10054,Handmade Butterfly Mold Butterfly Accessories Resin Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/solar-system-planet-ornament-resin-mold-coaster,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/O1CN01usrDNB1OOoQbuzn4u__2208913641696-0-cib.jpg?v=1642471780,9.99,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10053,Easter Egg Keychain Resin Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/knife-fork-tissue-storage-box-resin-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/O1CN01G77rNK1XHmvfxCaht__2207286642899-0-cib.jpg?v=1642414040,19.99,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10051,Stereoscopic Spherical Silicone Resin MoLD pendant Ornament,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/irregular-tray-ornament-resin-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/FotoJet-2022-01-17T151537.399.jpg?v=1642485193,19.89,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10050,Adjustable Bezel Holder Resin Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/snake-earrings-resin-jewelry-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/O1CN01xEqmr31h0yWrPqA0T__1011374216-0-cib.jpg?v=1642389595,14.89,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10049,Guitar Plectrum Mould Guitar Storage Case Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/hand-skull-candle-holder-organizer-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/FotoJet_63.jpg?v=1642231892,13.89,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10047,Rhombus Triangle Earring Silicone Resin Jewelry Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/love-photo-frame-flower-arrangement-hydroponic-flower-ware-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/QQ_20220115143429.png?v=1642228803,14.99,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10046,4 pcs UV Gemstone Faceted Pendant Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/christmas-moose-snowflake-pendant-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/O1CN01Z9t0HU29w33nGzK4e__2683988131-0-cib.jpg?v=1642226825,14.89,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
IR-2-10044,Arch Angel Love Messenger Resin Scented Plaster Mold,"，Upgrade Resin Epoxy Molds
，Durable Silicone Material 
，Suitable for Many Uses
，100% Satisfaction Guarantee",https://intoresin.myshopify.com/products/flying-bird-wall-hanging-mold-flying-bird-coaster-mold,https://cdn.shopify.com/s/files/1/0553/8181/9580/products/O1CN018c0LI21bqphD9OcPC__2212035233517-0-cib.jpg?v=1642157439,23.89,in stock,"Arts, Crafts & Sewing > Resin Casting Molds",IntoResin
